FishId	ScoreMin	ScoreMax	Speed	ExistTime	Drop	CoinExplosion
1	2	2	5	20	1	0
2	2	2	5	20	1	0
3	3	3	5	20	1	0
4	4	4	5	20	1	0
5	5	5	5	20	1	0
6	6	6	5	20	2	0
7	7	7	5	20	2	0
8	8	8	5	20	2	0
9	9	9	5	20	2	0
10	10	10	5	20	2	0
11	12	12	5	20	2	0
12	15	15	5	20	2	0
13	18	18	5	20	2	0
14	20	20	5	20	2	0
15	25	25	5	20	2	1
16	30	30	5	20	2	1
17	35	35	5	20	2	1
18	40	120	5	20	2	1
19	120	500	5	20	2	1
20	40	300	5	20	2	1
21	40	300	5	20	2	1
22	500	500	5	20	2	1
23	500	500	5	20	2	1
24	500	500	5	20	2	1
25	12	12	5	20	2	0
26	15	15	5	20	2	0
27	21	21	5	20	2	0
28	24	24	5	20	2	0
29	32	32	5	20	2	0
30	40	40	5	20	2	0
31	1	1	5	20	2	0
32	1	1	5	20	2	0
33	1	1	5	20	2	0
34	1	1	5	20	2	0
35	1	1	5	20	2	0
36	1	1	5	20	2	0
37	1	1	5	20	2	0
38	1	1	5	20	2	0
39	1	1	5	20	2	0
40	1	1	5	20	2	0
