Id	FishId	FishTeamId	TargetPoint	Path	PathId	OneScreenMaxNum	Pro
1	3	0	0,0.552	2	3	1	0.1
2	8	0	0,0.552	2	2	6	0.1
3	9	0	0,0.552	2	3	6	0.1
4	13	0	0,0.552	1	0	4	0.1
5	14	0	0,0.552	1	0	3	0.1
6	15	0	0,0.552	1	0	4	0.1
7	16	0	0,0.552	1	0	3	0.1
8	17	0	0,0.552	1	0	2	0.1
9	18	0	0,0.552	2	1	1	0.1
10	19	0	0,0.552	2	2	1	0.1
11	20	0	0,0.552	1	0	1	0.1
12	21	0	0,0.552	1	0	1	0.1
13	22	0	0,0.552	1	0	1	0.1
14	23	0	0,0.552	1	0	1	0.1
15	24	0	0,0.552	2	1	1	0.1
16	25	0	0,0.552	1	0	1	0.1
17	26	0	0,0.552	1	0	1	0.1
18	27	0	0,0.552	1	0	1	0.1
19	28	0	0,0.552	1	0	1	0.1
20	29	0	0,0.552	1	0	1	0.1
21	30	0	0,0.552	1	0	1	0.1
22	31	0	0,0.552	1	0	1	0.1
23	32	0	0,0.552	1	0	1	0.1
24	33	0	0,0.552	1	0	1	0.1
25	34	0	0,0.552	1	0	1	0.1
26	35	0	0,0.552	1	0	1	0.1
27	36	0	0,0.552	1	0	1	0.1
28	37	0	0,0.552	1	0	1	0.1
29	38	0	0,0.552	1	0	1	0.1
30	39	0	0,0.552	1	0	1	0.1
31	40	0	0,0.552	1	0	1	0.1
32	0	1	0,0.552	2	1	1	1
