Id	Name	Value
1	ScreenWidth	1274
2	ScreenHeight	590
3	Gold2Score	10
4	FireRate	150
5	UpScoreRate	300
6	DefaultCannonScore	1000
7	CannonScoreIncrease	100
8	DefaultScore	0
9	ScoreIncrease	100000
10	LiziCannonLastTime	20000
11	LockScore	10
12	ChangeSceneTime	7.5
13	ChangeSceneLastTime	5
14	FishSchoolLastTime	145
15	CloseGameTime	60
16	DefaultRate	0.95
17	LiziScore	50
18	LiziRate	0.01
19	ServerPort	8088
20	MaxOnline	10000
21	TotalFishNumber	20
22	Map	map0|map1|map2
23	SpawnPoints	-0.954,-0.767|-0.653,-0.767|0.871,-0.767|0.926,0.92|0.222,0.92|-1.07,0.92|-2,0.587|-2,0.045|-2,-0.473|2,-0.581|2,-0.086|2,0.579|0.40,-0.16
24	RoundFishSchoolSpawnPoint	-2,0
25	RoundFishSchoolTargetPoint	2,0
26	RandomFishSchoolFishNumMin	5
27	RandomFishSchoolFishNumMax	5
28	LiKuiMaxScore	300
29	LiKuiScoreIncrease	10
30	FreezeTime	20
